{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015643604527114413, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0002976724338315, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02067526635520126, 'shap_norm_sq': 4.9, 'weighted_error': 1.001454227933874, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028157171570243698, 'shap_norm_sq': 3.6, 'weighted_error': 1.0008536360330484, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04070192223097504, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000701922230975, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06361089797099702, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.000493732431554, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11668082661571748, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0010230089702339, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26014897844948076, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0006343111530924, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015678997214710062, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0008639554353604, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020598917977636456, 'shap_norm_sq': 4.9, 'weighted_error': 1.0010385534337987, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.02789494364134762, 'shap_norm_sq': 3.6, 'weighted_error': 1.0002636231930324, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04095135968309697, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000951359683097, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06529206068725549, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0012409158610025, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11983776339676622, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0016028545014468, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2559749888865517, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0003734368054094, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015689436862033602, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0010309897925374, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020564134739189326, 'shap_norm_sq': 4.9, 'weighted_error': 1.000849178024475, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -48, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028230420304727204, 'shap_norm_sq': 3.6, 'weighted_error': 1.0010184456856364, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 28, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04082868162775985, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0008286816277598, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06325106999506432, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0003338088866955, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11469592519056715, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0006584352390837, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26820213953768124, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.001137633721105, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015637453512180034, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0001992561948814, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020610852071844727, 'shap_norm_sq': 4.9, 'weighted_error': 1.0011035279467106, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028021822072003197, 'shap_norm_sq': 3.6, 'weighted_error': 1.0005490996620072, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04109282319713242, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0010928231971323, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -36, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06534325296565903, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0012636679847375, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.1165118187051235, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.000991966700941, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26889210785156115, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0011807567407225, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01571263467027044, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0014021547243275, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020510356708886644, 'shap_norm_sq': 4.9, 'weighted_error': 1.0005563865261609, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.02845043612552035, 'shap_norm_sq': 3.6, 'weighted_error': 1.0015134812824207, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.040393131952112984, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000393131952113, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06598245293812262, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.001547756861388, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -52, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11435069144275517, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0005950249588733, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.25697426763938713, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0004358917274616, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015756382609817633, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0021021217570827, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 36, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02047591464685401, 'shap_norm_sq': 4.9, 'weighted_error': 1.000368868632872, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028051520553723938, 'shap_norm_sq': 3.6, 'weighted_error': 1.0006159212458787, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04154300215393808, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.001543002153938, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06459515145496506, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0009311784244288, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.12046974304221013, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.001718932395508, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2637240648934607, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0008577540558412, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01566965200057433, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0007144320091894, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02052935506237683, 'shap_norm_sq': 4.9, 'weighted_error': 1.0006598220062746, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028019647581709866, 'shap_norm_sq': 3.6, 'weighted_error': 1.0005442070588473, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.040876688435636854, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000876688435637, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 40, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.0650287931455612, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.001123908064694, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.12031395477579866, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0016903182241261, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2625223426716336, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.000782646416977, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015699709406342292, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0011953505014757, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02055249234342252, 'shap_norm_sq': 4.9, 'weighted_error': 1.0007857916475227, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028393462544871628, 'shap_norm_sq': 3.6, 'weighted_error': 1.0013852907259613, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04071028037967685, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000710280379677, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06488612713004444, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0010605009466866, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.12203458497674616, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0020063523426677, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26189207635151684, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0007432547719697, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015667217490248683, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0006754798439792, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020528894644612817, 'shap_norm_sq': 4.9, 'weighted_error': 1.0006573152873373, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 28, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028137086567566486, 'shap_norm_sq': 3.6, 'weighted_error': 1.000808444777025, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04075486366164052, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0007548636616406, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.0637513608355029, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0005561603713347, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 36, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11369289518721026, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.000474205238467, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2621972923062714, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.000762330769142, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01570710982110421, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0013137571376676, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02050118717711215, 'shap_norm_sq': 4.9, 'weighted_error': 1.0005064635198333, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -30, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.02797930977167508, 'shap_norm_sq': 3.6, 'weighted_error': 1.000453446986269, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.040439402893081164, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000439402893081, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -18, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06368613529217594, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0005271712409674, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11511046939572743, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.00073457601146, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26206403524298527, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0007540022026864, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015679143022686744, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.000866288362988, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020534608228462006, 'shap_norm_sq': 4.9, 'weighted_error': 1.0006884225771828, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.027969373620312994, 'shap_norm_sq': 3.6, 'weighted_error': 1.0004310906457041, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.041240802525541645, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0012408025255415, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06359190290989311, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.000485290182175, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11661737039154202, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.001011353745385, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2580715369901817, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0005044710618862, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015646128649890425, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0003380583982482, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02055623113041917, 'shap_norm_sq': 4.9, 'weighted_error': 1.0008061472656158, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.02807467742032195, 'shap_norm_sq': 3.6, 'weighted_error': 1.0006680241957244, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.0422571573033353, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0022571573033352, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06718767346449885, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0020834104286662, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11720388782428638, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0011190814371138, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 38, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2592828874155412, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0005801804634709, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015697469898542343, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.001159518376679, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020550642595756608, 'shap_norm_sq': 4.9, 'weighted_error': 1.0007757207991197, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028015786243787148, 'shap_norm_sq': 3.6, 'weighted_error': 1.000535519048521, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04113430695615556, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0011343069561556, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06383560262551281, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0005936011668946, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.12063344104803542, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0017489993761697, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2556979896344914, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0003561243521557, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01568495953244633, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.000959352519141, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020478628108908534, 'shap_norm_sq': 4.9, 'weighted_error': 1.00038364192628, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.027940583320976164, 'shap_norm_sq': 3.6, 'weighted_error': 1.0003663124721962, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04078595824788336, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0007859582478833, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06392451729111011, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0006331187960489, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11912433018424105, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0014718157481257, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2699839896584989, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.001248999353656, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01570064662223442, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.001210345955751, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02054614760904242, 'shap_norm_sq': 4.9, 'weighted_error': 1.0007512480936755, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 40, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.02801738099889953, 'shap_norm_sq': 3.6, 'weighted_error': 1.000539107247524, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 18, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.041446634394595935, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.001446634394596, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06272426580858029, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0000996736927024, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11875029340804179, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0014031151157627, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.2646620980034158, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0009163811252135, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01569743115113258, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0011588984181212, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020531770661437694, 'shap_norm_sq': 4.9, 'weighted_error': 1.0006729736011608, 'gamma': 0.18367346938775497}
